ANO,NIVEL,CODMUNRES,IDHM_A,IDHM_CA,IDHM_CA_M,IDHM_CA_F
2010,Município,2600054,0.679,NA,NA,NA
2010,Município,2600104,0.657,NA,NA,NA
2010,Município,2600203,0.588,NA,NA,NA
2010,Município,2600302,0.592,NA,NA,NA
2010,Município,2600401,0.553,NA,NA,NA
2010,Município,2600500,0.526,NA,NA,NA
2010,Município,2600609,0.599,NA,NA,NA
2010,Município,2600708,0.604,NA,NA,NA
2010,Município,2600807,0.598,NA,NA,NA
2010,Município,2600906,0.58,NA,NA,NA
2010,Município,2601003,0.572,NA,NA,NA
2010,Município,2601052,0.592,NA,NA,NA
2010,Município,2601102,0.602,NA,NA,NA
2010,Município,2601201,0.667,NA,NA,NA
2010,Município,2601300,0.577,NA,NA,NA
2010,Município,2601409,0.586,NA,NA,NA
2010,Município,2601508,0.578,NA,NA,NA
2010,Município,2601607,0.642,NA,NA,NA
2010,Município,2601706,0.629,NA,NA,NA
2010,Município,2601805,0.559,NA,NA,NA
2010,Município,2601904,0.606,NA,NA,NA
2010,Município,2602001,0.565,NA,NA,NA
2010,Município,2602100,0.563,NA,NA,NA
2010,Município,2602209,0.602,NA,NA,NA
2010,Município,2602308,0.561,NA,NA,NA
2010,Município,2602407,0.547,NA,NA,NA
2010,Município,2602506,0.574,NA,NA,NA
2010,Município,2602605,0.562,NA,NA,NA
2010,Município,2602704,0.593,NA,NA,NA
2010,Município,2602803,0.527,NA,NA,NA
2010,Município,2602902,0.686,NA,NA,NA
2010,Município,2603009,0.623,NA,NA,NA
2010,Município,2603108,0.579,NA,NA,NA
2010,Município,2603207,0.522,NA,NA,NA
2010,Município,2603306,0.566,NA,NA,NA
2010,Município,2603405,0.571,NA,NA,NA
2010,Município,2603454,0.692,NA,NA,NA
2010,Município,2603504,0.588,NA,NA,NA
2010,Município,2603603,0.606,NA,NA,NA
2010,Município,2603702,0.541,NA,NA,NA
2010,Município,2603801,0.549,NA,NA,NA
2010,Município,2603900,0.583,NA,NA,NA
2010,Município,2603926,0.573,NA,NA,NA
2010,Município,2604007,0.68,NA,NA,NA
2010,Município,2604106,0.677,NA,NA,NA
2010,Município,2604155,0.567,NA,NA,NA
2010,Município,2604205,0.609,NA,NA,NA
2010,Município,2604304,0.615,NA,NA,NA
2010,Município,2604403,0.604,NA,NA,NA
2010,Município,2604502,0.599,NA,NA,NA
2010,Município,2604601,0.602,NA,NA,NA
2010,Município,2604700,0.536,NA,NA,NA
2010,Município,2604809,0.568,NA,NA,NA
2010,Município,2604908,0.572,NA,NA,NA
2010,Município,2605004,0.592,NA,NA,NA
2010,Município,2605103,0.594,NA,NA,NA
2010,Município,2605152,0.589,NA,NA,NA
2010,Município,2605202,0.632,NA,NA,NA
2010,Município,2605301,0.576,NA,NA,NA
2010,Município,2605400,0.6,NA,NA,NA
2010,Município,2605459,0.788,NA,NA,NA
2010,Município,2605509,0.622,NA,NA,NA
2010,Município,2605608,0.556,NA,NA,NA
2010,Município,2605707,0.626,NA,NA,NA
2010,Município,2605806,0.576,NA,NA,NA
2010,Município,2605905,0.602,NA,NA,NA
2010,Município,2606002,0.664,NA,NA,NA
2010,Município,2606101,0.604,NA,NA,NA
2010,Município,2606200,0.651,NA,NA,NA
2010,Município,2606309,0.595,NA,NA,NA
2010,Município,2606408,0.634,NA,NA,NA
2010,Município,2606507,0.528,NA,NA,NA
2010,Município,2606606,0.552,NA,NA,NA
2010,Município,2606705,0.58,NA,NA,NA
2010,Município,2606804,0.665,NA,NA,NA
2010,Município,2606903,0.598,NA,NA,NA
2010,Município,2607604,0.653,NA,NA,NA
2010,Município,2607000,0.523,NA,NA,NA
2010,Município,2607109,0.608,NA,NA,NA
2010,Município,2607208,0.619,NA,NA,NA
2010,Município,2607307,0.55,NA,NA,NA
2010,Município,2607406,0.595,NA,NA,NA
2010,Município,2607505,0.51,NA,NA,NA
2010,Município,2607653,0.575,NA,NA,NA
2010,Município,2607703,0.592,NA,NA,NA
2010,Município,2607752,0.633,NA,NA,NA
2010,Município,2607802,0.586,NA,NA,NA
2010,Município,2607901,0.717,NA,NA,NA
2010,Município,2607950,0.575,NA,NA,NA
2010,Município,2608008,0.53,NA,NA,NA
2010,Município,2608057,0.645,NA,NA,NA
2010,Município,2608107,0.576,NA,NA,NA
2010,Município,2608206,0.554,NA,NA,NA
2010,Município,2608255,0.55,NA,NA,NA
2010,Município,2608305,0.575,NA,NA,NA
2010,Município,2608404,0.509,NA,NA,NA
2010,Município,2608503,0.602,NA,NA,NA
2010,Município,2608453,0.609,NA,NA,NA
2010,Município,2608602,0.525,NA,NA,NA
2010,Município,2608701,0.551,NA,NA,NA
2010,Município,2608750,0.597,NA,NA,NA
2010,Município,2608800,0.611,NA,NA,NA
2010,Município,2608909,0.663,NA,NA,NA
2010,Município,2609006,0.609,NA,NA,NA
2010,Município,2609105,0.578,NA,NA,NA
2010,Município,2609154,0.487,NA,NA,NA
2010,Município,2609204,0.534,NA,NA,NA
2010,Município,2609303,0.591,NA,NA,NA
2010,Município,2614303,0.6,NA,NA,NA
2010,Município,2609402,0.652,NA,NA,NA
2010,Município,2609501,0.662,NA,NA,NA
2010,Município,2609600,0.735,NA,NA,NA
2010,Município,2609709,0.61,NA,NA,NA
2010,Município,2609808,0.61,NA,NA,NA
2010,Município,2609907,0.572,NA,NA,NA
2010,Município,2610004,0.622,NA,NA,NA
2010,Município,2610103,0.549,NA,NA,NA
2010,Município,2610202,0.569,NA,NA,NA
2010,Município,2610301,0.537,NA,NA,NA
2010,Município,2610400,0.599,NA,NA,NA
2010,Município,2610509,0.592,NA,NA,NA
2010,Município,2610608,0.639,NA,NA,NA
2010,Município,2610707,0.732,NA,NA,NA
2010,Município,2610806,0.567,NA,NA,NA
2010,Município,2610905,0.61,NA,NA,NA
2010,Município,2611002,0.623,NA,NA,NA
2010,Município,2611101,0.697,NA,NA,NA
2010,Município,2611200,0.528,NA,NA,NA
2010,Município,2611309,0.598,NA,NA,NA
2010,Município,2611408,0.58,NA,NA,NA
2010,Município,2611507,0.552,NA,NA,NA
2010,Município,2611533,0.577,NA,NA,NA
2010,Município,2611606,0.772,NA,NA,NA
2010,Município,2611705,0.57,NA,NA,NA
2010,Município,2611804,0.602,NA,NA,NA
2010,Município,2611903,0.613,NA,NA,NA
2010,Município,2612000,0.585,NA,NA,NA
2010,Município,2612109,0.534,NA,NA,NA
2010,Município,2612208,0.669,NA,NA,NA
2010,Município,2612307,0.559,NA,NA,NA
2010,Município,2612406,0.603,NA,NA,NA
2010,Município,2612455,0.549,NA,NA,NA
2010,Município,2612471,0.612,NA,NA,NA
2010,Município,2612505,0.648,NA,NA,NA
2010,Município,2612554,0.533,NA,NA,NA
2010,Município,2612604,0.59,NA,NA,NA
2010,Município,2612703,0.548,NA,NA,NA
2010,Município,2612802,0.593,NA,NA,NA
2010,Município,2612901,0.53,NA,NA,NA
2010,Município,2613008,0.593,NA,NA,NA
2010,Município,2613107,0.591,NA,NA,NA
2010,Município,2613206,0.57,NA,NA,NA
2010,Município,2613305,0.537,NA,NA,NA
2010,Município,2613404,0.608,NA,NA,NA
2010,Município,2613503,0.61,NA,NA,NA
2010,Município,2613602,0.635,NA,NA,NA
2010,Município,2613701,0.653,NA,NA,NA
2010,Município,2613800,0.549,NA,NA,NA
2010,Município,2613909,0.661,NA,NA,NA
2010,Município,2614006,0.595,NA,NA,NA
2010,Município,2614105,0.613,NA,NA,NA
2010,Município,2614204,0.597,NA,NA,NA
2010,Município,2614402,0.585,NA,NA,NA
2010,Município,2614501,0.635,NA,NA,NA
2010,Município,2614600,0.605,NA,NA,NA
2010,Município,2614709,0.554,NA,NA,NA
2010,Município,2614808,0.573,NA,NA,NA
2010,Município,2614857,0.593,NA,NA,NA
2010,Município,2615003,0.641,NA,NA,NA
2010,Município,2615102,0.545,NA,NA,NA
2010,Município,2615201,0.599,NA,NA,NA
2010,Município,2615300,0.618,NA,NA,NA
2010,Município,2615409,0.618,NA,NA,NA
2010,Município,2615508,0.605,NA,NA,NA
