"ANO","NIVEL","CODMUNRES","POPRE_T","POPRC_T","POPRC_M","POPRC_F","POPRC_15","POPRC_15_49","POPRC_50","POPRC_F_15","POPRC_F_15_49","POPRC_F_50"
2015,"UF",26,"9345173",8796448,4230681,4565767,2256769,4842320,1697359,1110611,2501701,953455
2015,"MUNICIPIO",2600054,"98602",94429,45125,49304,22446,53715,18268,11063,27991,10250
2015,"MUNICIPIO",2600104,"36709",35088,16790,18298,9167,18441,7480,4498,9640,4160
2015,"MUNICIPIO",2600203,"19031",17586,8750,8836,5183,9194,3209,2551,4633,1652
2015,"MUNICIPIO",2600302,"24256",22679,10935,11744,6108,11862,4709,3034,6162,2548
2015,"MUNICIPIO",2600401,"35698",33095,16610,16485,9977,17929,5189,4913,9020,2552
2015,"MUNICIPIO",2600500,"42566",40235,19666,20569,13015,19526,7694,6466,9889,4214
2015,"MUNICIPIO",2600609,"14341",13759,6913,6846,3685,7017,3057,1804,3433,1609
2015,"MUNICIPIO",2600708,"38255",37415,18579,18836,10090,20180,7145,4958,10220,3658
2015,"MUNICIPIO",2600807,"22876",22353,11106,11247,5560,11299,5494,2692,5605,2950
2015,"MUNICIPIO",2600906,"22643",21939,10984,10955,6301,11890,3748,3148,5943,1864
2015,"MUNICIPIO",2601003,"10882",10202,5018,5184,2933,5016,2253,1433,2544,1207
2015,"MUNICIPIO",2601052,"19816",18156,9027,9129,5259,10133,2764,2593,5097,1439
2015,"MUNICIPIO",2601102,"82800",77302,37836,39466,24332,40235,12735,12016,20575,6875
2015,"MUNICIPIO",2601201,"72625",68793,32369,36424,18709,36624,13460,9283,19278,7863
2015,"MUNICIPIO",2601300,"13953",12776,6515,6261,3740,6849,2187,1814,3322,1125
2015,"MUNICIPIO",2601409,"42220",40732,19885,20847,11853,22083,6796,5891,11376,3580
2015,"MUNICIPIO",2601508,"11888",11353,5635,5718,3501,5722,2130,1689,2916,1113
2015,"MUNICIPIO",2601607,"20675",20253,9960,10293,6295,10565,3393,3085,5303,1905
2015,"MUNICIPIO",2601706,"75462",72432,34780,37652,18959,38914,14559,9448,20088,8116
2015,"MUNICIPIO",2601805,"12539",12003,6008,5995,3493,6041,2469,1702,2985,1308
2015,"MUNICIPIO",2601904,"60386",58668,28050,30618,13785,31141,13742,6747,16114,7757
2015,"MUNICIPIO",2602001,"37317",35158,17621,17537,11113,17938,6107,5433,8850,3254
2015,"MUNICIPIO",2602100,"47760",45503,22004,23499,13663,22739,9101,6677,11767,5055
2015,"MUNICIPIO",2602209,"38924",37826,18477,19349,9726,19765,8335,4713,10095,4541
2015,"MUNICIPIO",2602308,"38094",37566,18577,18989,10941,19227,7398,5375,9653,3961
2015,"MUNICIPIO",2602407,"8989",8844,4334,4510,2571,4541,1732,1313,2277,920
2015,"MUNICIPIO",2602506,"7464",7307,3608,3699,1939,3868,1500,964,1922,813
2015,"MUNICIPIO",2602605,"49092",45180,22180,23000,13217,24289,7674,6597,12310,4093
2015,"MUNICIPIO",2602704,"13012",12537,6197,6340,3334,6738,2465,1639,3420,1281
2015,"MUNICIPIO",2602803,"56523",52105,25641,26464,17724,25403,8978,8758,12972,4734
2015,"MUNICIPIO",2602902,"200546",185025,90859,94166,46543,107805,30677,22862,54688,16616
2015,"MUNICIPIO",2603009,"33247",30873,15052,15821,9400,16581,4892,4734,8388,2699
2015,"MUNICIPIO",2603108,"19951",18819,9104,9715,4800,9987,4032,2399,5085,2231
2015,"MUNICIPIO",2603207,"28145",26577,13172,13405,8109,13464,5004,3983,6715,2707
2015,"MUNICIPIO",2603306,"11136",11125,5566,5559,3258,5658,2209,1604,2745,1210
2015,"MUNICIPIO",2603405,"5745",5648,2722,2926,1544,2908,1196,762,1488,676
