"ANO","NIVEL","CODMUNRES","TN","TNRC","TNRCR","TRSEXO_F","TRSEXO_M","TPV","TPC","TGI_15","TGI_15_19","TGI_20_24","TGI_25_29","TGI_30_34","TGI_35_39","TGI_40_44","TGI_45_49","TGI_50","IM_P25","IM_P50","IM_P75"
2015,"UF",26,145024,0,0,70984,74002,70157,74722,1531,0,38170,35290,25971,12437,3073,214,17,NA,NA,NA
2015,"MUNICIPIO",260000,2,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,19.5,20,20.5
2015,"MUNICIPIO",260005,1628,0,0,792,834,850,776,16,0,408,403,316,130,37,6,0,20,25.5,31
2015,"MUNICIPIO",260010,666,0,0,340,326,181,484,4,0,160,168,126,77,14,0,0,21,26,31
2015,"MUNICIPIO",260020,269,0,0,132,137,156,112,5,0,77,72,32,25,4,0,0,20,24,29
2015,"MUNICIPIO",260030,357,0,0,176,181,142,215,4,0,99,76,64,28,4,1,0,20,24,30
2015,"MUNICIPIO",260040,546,0,0,277,269,258,287,8,0,164,131,77,22,4,1,1,19,23,28
2015,"MUNICIPIO",260050,774,0,0,389,385,551,221,11,0,195,167,123,69,32,4,0,20,25,30
2015,"MUNICIPIO",260060,179,0,0,71,108,106,73,3,0,50,37,16,20,3,0,0,19,23,28.5
2015,"MUNICIPIO",260070,570,0,0,293,277,321,247,6,0,166,139,81,36,8,3,0,20,24,29
2015,"MUNICIPIO",260080,254,0,0,131,123,131,123,0,0,57,63,50,20,7,0,0,20,25,31
2015,"MUNICIPIO",260090,339,0,0,164,175,157,182,5,0,107,72,49,18,4,0,0,19,23,29
2015,"MUNICIPIO",260100,164,0,0,71,93,112,52,3,0,37,41,33,11,3,0,0,20,25,30
2015,"MUNICIPIO",260105,342,0,0,171,171,217,124,8,0,91,83,49,17,4,0,1,19,24,28
2015,"MUNICIPIO",260110,1625,0,0,812,813,937,687,38,0,412,415,225,107,25,2,0,19,24,29
2015,"MUNICIPIO",260120,1110,0,0,536,574,529,581,13,0,289,249,189,101,27,1,0,20,25,30
2015,"MUNICIPIO",260130,186,0,0,97,89,102,83,3,0,45,51,25,6,2,2,0,19,24,28.75
2015,"MUNICIPIO",260140,779,0,0,386,393,402,376,20,0,245,173,107,39,11,2,0,19,23,28
