ANO,NIVEL,CODMUNRES,POPR_RA,POPR_RE
2015,Município,260005,86526,22002
2015,Município,260010,36709,NA
2015,Município,260020,9755,NA
2015,Município,260030,23436,NA
2015,Município,260040,19571,NA
2015,Município,260050,20270,NA
2015,Município,260060,6273,NA
2015,Município,260070,24440,NA
2015,Município,260080,18190,NA
2015,Município,260090,20000,NA
2015,Município,260100,7541,NA
2015,Município,260105,5554,NA
2015,Município,260110,53978,35531
2015,Município,260120,67787,3859
2015,Município,260130,13764,NA
2015,Município,260140,35219,13555
2015,Município,260150,8448,NA
2015,Município,260160,15175,NA
2015,Município,260170,75462,53155
2015,Município,260180,5691,3878
2015,Município,260190,48789,NA
2015,Município,260200,17068,20037
2015,Município,260210,30960,NA
2015,Município,260220,24988,NA
2015,Município,260230,32321,NA
2015,Município,260240,4013,NA
2015,Município,260250,4740,NA
2015,Município,260260,27327,20000
2015,Município,260270,9374,NA
2015,Município,260280,17066,NA
2015,Município,260290,167430,23981
2015,Município,260300,27637,21320
2015,Município,260310,17392,NA
2015,Município,260320,6536,NA
2015,Município,260330,3922,NA
2015,Município,260340,2649,NA
2015,Município,260345,120819,2734
2015,Município,260350,13072,NA
2015,Município,260360,6631,NA
2015,Município,260370,14181,NA
2015,Município,260380,7092,NA
2015,Município,260390,11972,NA
2015,Município,260392,3200,3200
2015,Município,260400,76048,NA
2015,Município,260410,339749,152841
2015,Município,260415,1670,NA
2015,Município,260420,35200,NA
2015,Município,260430,8525,6721
2015,Município,260440,8908,NA
2015,Município,260450,13598,NA
2015,Município,260460,12491,NA
2015,Município,260470,12129,NA
2015,Município,260480,8497,NA
2015,Município,260490,7009,NA
2015,Município,260500,23841,NA
2015,Município,260510,21359,NA
2015,Município,260515,7873,5077
2015,Município,260520,49730,NA
2015,Município,260530,18481,NA
2015,Município,260540,18432,NA
2015,Município,260545,2930,2129
2015,Município,260550,9935,NA
2015,Município,260560,12911,NA
2015,Município,260570,27172,NA
2015,Município,260580,6063,NA
2015,Município,260590,18836,NA
2015,Município,260600,136949,13707
2015,Município,260610,16508,NA
2015,Município,260620,45319,NA
2015,Município,260630,3756,3368
2015,Município,260640,81893,1512
2015,Município,260650,NA,NA
2015,Município,260660,15556,NA
2015,Município,260670,4029,NA
2015,Município,260680,77346,2455
2015,Município,260690,8144,12117
2015,Município,260760,24888,NA
2015,Município,260700,13264,5021
2015,Município,260710,2147,NA
2015,Município,260720,52777,10918
2015,Município,260730,16799,8162
2015,Município,260740,4754,NA
2015,Município,260750,17700,NA
2015,Município,260765,NA,NA
2015,Município,260770,9351,NA
2015,Município,260775,14781,3000
2015,Município,260780,8972,NA
2015,Município,260790,508084,45689
2015,Município,260795,10500,NA
2015,Município,260800,2592,NA
2015,Município,260805,11445,NA
2015,Município,260810,19835,NA
2015,Município,260820,11605,NA
2015,Município,260825,3985,NA
2015,Município,260830,2576,NA
2015,Município,260840,13000,NA
2015,Município,260845,9102,NA
2015,Município,260850,16821,NA
2015,Município,260860,6852,NA
2015,Município,260870,9815,NA
2015,Município,260875,14898,13399
2015,Município,260880,39146,NA
2015,Município,260890,43432,NA
2015,Município,260900,17623,NA
2015,Município,260910,8871,NA
2015,Município,260915,7347,NA
2015,Município,260920,4529,NA
2015,Município,260930,12707,NA
2015,Município,261430,5336,NA
2015,Município,260940,47896,18000
2015,Município,260950,29421,7616
2015,Município,260960,341891,140866
2015,Município,260970,7434,NA
2015,Município,260980,5643,NA
2015,Município,260990,48928,NA
2015,Município,261000,52559,NA
2015,Município,261010,5303,NA
2015,Município,261020,16338,14410
2015,Município,261030,1392,NA
2015,Município,261040,12236,NA
2015,Município,261050,17454,NA
2015,Município,261060,32583,NA
2015,Município,261070,271208,124297
2015,Município,261080,10734,NA
2015,Município,261090,40933,NA
2015,Município,261100,25476,NA
2015,Município,261110,308321,209527
2015,Município,261120,6686,NA
2015,Município,261130,19900,NA
2015,Município,261140,6403,NA
2015,Município,261150,13039,NA
2015,Município,261153,3605,NA
2015,Município,261160,1369839,646006
2015,Município,261170,12754,NA
2015,Município,261180,31907,NA
2015,Município,261190,11195,3967
2015,Município,261200,9731,NA
2015,Município,261210,3752,NA
2015,Município,261220,59769,19937
2015,Município,261230,5552,NA
2015,Município,261240,20948,NA
2015,Município,261245,6597,NA
2015,Município,261247,191,NA
2015,Município,261250,78656,NA
2015,Município,261255,5008,14172
2015,Município,261260,17308,NA
2015,Município,261270,6775,NA
2015,Município,261280,8557,NA
2015,Município,261290,5975,NA
2015,Município,261300,27118,NA
2015,Município,261310,29594,NA
2015,Município,261320,13749,NA
2015,Município,261330,16087,NA
2015,Município,261340,19152,NA
2015,Município,261350,20351,21500
2015,Município,261360,24606,21971
2015,Município,261370,74262,10603
2015,Município,261380,8279,NA
2015,Município,261390,84352,65450
2015,Município,261400,10802,NA
2015,Município,261410,19693,NA
2015,Município,261420,25384,7308
2015,Município,261440,2095,NA
2015,Município,261450,63166,NA
2015,Município,261460,25816,NA
2015,Município,261470,8999,NA
2015,Município,261480,15281,NA
2015,Município,261485,22591,22591
2015,Município,261500,8630,23000
2015,Município,261510,3602,NA
2015,Município,261520,9700,NA
2015,Município,261530,47019,NA
2015,Município,261540,34414,NA
2015,Município,261550,10248,NA
2015,Município,261560,29519,NA
2015,Município,261570,7946,NA
2015,Município,261580,11835,10000
2015,Município,261590,8149,NA
2015,Município,261600,8992,NA
2015,Município,261610,9376,NA
2015,Município,261618,2991,NA
2015,Município,261620,14625,NA
2015,Município,261630,14249,NA
2015,Município,261640,100408,38222
2015,Município,261650,9300,NA
